concept_id,display_label,source_type,source_table,source_row_id,primary_url,aliases,status,deprecated_at,deprecated_reason
concept_only:pkcs-11-cryptographic-token-interface-base-specification-version-3-0,PKCS #11 Cryptographic Token Interface Base Specification Version 3.0,concept_only,,,,,active,,
guidance:3gpp-pqc,3GPP PQC for 5G/6G,guidance,compliance,3GPP-PQC,https://www.3gpp.org/,,active,,
guidance:3gpp-rel19-pqc-study,3GPP Release 19 SA3: Quantum-Safe Protocol Inventory,guidance,compliance,3gpp-rel19-pqc-study,https://www.3gpp.org/specifications-technologies/releases/release-19,,active,,
guidance:3gpp-rel20-pqc,3GPP Release 20 SA3: PQC Transition Work Item (Normative),guidance,compliance,3gpp-rel20-pqc,https://www.3gpp.org/specifications-technologies/releases/release-20,,active,,
guidance:3gpp-sa3,3GPP Security Working Group,guidance,compliance,3GPP-SA3,https://www.3gpp.org/specifications-groups/sa-plenary/sa3-security,,active,,
guidance:acpr,ACPR (French Banking & Insurance Regulator),guidance,compliance,ACPR,https://acpr.banque-france.fr,,active,,
guidance:acsc-essential-eight,ACSC Essential Eight,guidance,compliance,ACSC-ESSENTIAL-EIGHT,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/essential-eight/essential-eight-maturity-model,,active,,
guidance:acvp,NIST ACVP (Algorithm Validation),guidance,compliance,ACVP,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program,,active,,
guidance:aisep-australian-information-s,AISEP — Australian Information Security Evaluation Program,guidance,compliance,AISEP-AUSTRALIAN-INFORMATION-S,https://www.cyber.gov.au/business-government/protecting-devices-systems/assessment-evaluation-programs/australian-information-security-evaluation-program,,active,,
guidance:amf-fr,AMF (French Securities Regulator),guidance,compliance,AMF-FR,https://www.amf-france.org,,active,,
guidance:anssi,ANSSI,guidance,compliance,ANSSI,https://www.ssi.gouv.fr,,active,,
guidance:anssi-body,ANSSI,guidance,compliance,ANSSI-BODY,https://cyber.gouv.fr/en/technological-and-cybersecurity-challenges/post-quantum-cryptography/,,active,,
guidance:anssi-cert,ANSSI Security Certification,guidance,compliance,ANSSI-CERT,https://cyber.gouv.fr/offre-de-service/solutions-certifiees-et-qualifiees/,,active,,
guidance:anssi-common-criteria-certific,ANSSI Common Criteria Certification,guidance,compliance,ANSSI-COMMON-CRITERIA-CERTIFIC,https://cyber.gouv.fr/offre-de-service/solutions-certifiees-et-qualifiees/comprendre-levaluation-de-securite/certification-de-produits/comprendre-la-certification/,,active,,
guidance:apra-cps-234,APRA CPS 234,guidance,compliance,APRA-CPS-234,https://www.apra.gov.au/information-security,,active,,
guidance:argentina-onti,Argentina ONTI Cyber Baseline (Secretaría de Innovación Pública),guidance,compliance,ARGENTINA-ONTI,https://www.argentina.gob.ar/jefatura/innovacion-publica,,active,,
guidance:asc-x9,ASC X9 Financial PKI & PQC Standards,guidance,compliance,ASC-X9,https://x9.org/pki-home/,,active,,
guidance:asd-ism,ASD ISM,guidance,compliance,ASD-ISM,https://www.cyber.gov.au/business-government/asds-cyber-security-frameworks/ism,,active,,
guidance:at-nis2,Austria NIS2 Transposition + A-SIT Guidance,guidance,compliance,AT-NIS2,https://www.a-sit.at,,active,,
guidance:au-malabo,African Union Malabo Convention,guidance,compliance,AU-MALABO,https://au.int/en/treaties/african-union-convention-cyber-security-and-personal-data-protection,,active,,
guidance:au-privacy-act,Australian Privacy Act (APPs),guidance,compliance,AU-PRIVACY-ACT,https://www.oaic.gov.au/privacy/australian-privacy-principles,AU-PRIVACY-ACT,active,,
guidance:austrac-aml-ctf,AUSTRAC AML/CTF Act,guidance,compliance,AUSTRAC-AML-CTF,https://www.austrac.gov.au/amlctf-reform,AUSTRAC-AML-CTF,active,,
guidance:bahrain-ncsc-pqc,Bahrain Quantum-Safe Deployment,guidance,compliance,BAHRAIN-NCSC-PQC,https://www.ncsc.gov.bh/en/index.html,,active,,
guidance:be-nis2,Belgium NIS2 Transposition + CCB Cybersecurity Strategy,guidance,compliance,BE-NIS2,https://ccb.belgium.be,,active,,
guidance:bis-158-pqc,BIS Paper 158 Quantum Roadmap,guidance,compliance,BIS-158-PQC,https://www.bis.org/publ/bppdf/bispap158.htm,,active,,
