software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date,deprecated_at,deprecated_reason,product_id,purl_coverage_flag,data_quality_notes
.NET 10 PQC,,,,,,not_found,,2026-05-10,,,net-10-pqc,,
.NET System.Security.Cryptography,pkg:github/dotnet/runtime,github,dotnet,runtime,exact,matched,https://github.com/dotnet/runtime,2026-05-10,,,net-system-security-cryptography,,
01 Quantum IronCAP,,,,,,not_found,,2026-05-10,,,01-quantum-ironcap,,
1Password,,,,,,not_found,,2026-05-10,,,1password,,
@noble/curves,pkg:github/paulmillr/noble-curves,github,paulmillr,noble-curves,exact,matched,https://github.com/paulmillr/noble-curves,2026-05-10,,,noble-curves,,
@noble/hashes,pkg:github/paulmillr/noble-hashes,github,paulmillr,noble-hashes,exact,matched,https://github.com/paulmillr/noble-hashes,2026-05-10,,,noble-hashes,,
A10 Networks Thunder ADC,,,,,,not_found,,2026-05-10,,,a10-networks-thunder-adc,,
AdGuard DNS,,,,,,not_found,,2026-05-10,,,adguard-dns,,
Adobe Acrobat Sign,,,,,,not_found,,2026-05-10,,,adobe-acrobat-sign,,
Adva FSP 3000 S-Flex,,,,,,not_found,,2026-05-10,,,adva-fsp-3000-s-flex,,
Adva Network Security FSP 3000 S-Flex,,,,,,not_found,,2026-05-10,,,adva-network-security-fsp-3000-s-flex,,
Africa Quantum Consortium PQC,,,,,,not_found,,2026-05-10,,,africa-quantum-consortium-pqc,,
Aigis Reference Implementation,pkg:github/zhenfeizhang/Aigis,github,zhenfeizhang,Aigis,exact,matched,https://github.com/zhenfeizhang/Aigis,2026-05-10,,,aigis-reference-implementation,,
AIMer Reference Implementation,pkg:github/kpqc-cryptocon/AIMer,github,kpqc-cryptocon,AIMer,exact,matched,https://github.com/kpqc-cryptocon/AIMer,2026-05-10,,,aimer-reference-implementation,,
Airbus (Quantum Program),,,,,,not_found,,2026-05-10,,,,,
Akamai Connected Cloud,,,,,,not_found,,2026-05-10,,,akamai-connected-cloud,,
Akamai Edge,,,,,,not_found,,2026-05-10,,,akamai-edge,,
Akamai PQC Edge,,,,,,not_found,,2026-05-10,,,akamai-pqc-edge,,
Algorand,pkg:github/algorand/go-algorand,github,algorand,go-algorand,exact,matched,https://github.com/algorand/go-algorand,2026-05-10,,,algorand,,
Algorand FALCON Mainnet,,,,,,not_found,,2026-05-10,,,algorand-falcon-mainnet,,
Alibaba Cloud GVSM,,,,,,not_found,,2026-05-10,,,alibaba-cloud-gvsm,,
Alpine Linux,,,,,,not_found,,2026-05-10,,,alpine-linux,,
Amazon CloudFront,,,,,,not_found,,2026-05-10,,,amazon-cloudfront,,
Amazon Cognito,,,,,,not_found,,2026-05-10,,,amazon-cognito,,
Amazon EKS,,,,,,not_found,,2026-05-10,,,amazon-eks,,
Amazon Web Services (AWS),,,,,,not_found,,2026-05-10,,,amazon-web-services-aws,,
AMD SEV-SNP (Secure Encrypted Virtualization),pkg:github/AMDESE/AMDSEV,github,AMDESE,AMDSEV,exact,matched,https://github.com/AMDESE/AMDSEV,2026-05-10,,,amd-sev-snp-secure-encrypted-virtualization,,
AMD Versal Adaptive SoC,,,,,,not_found,,2026-05-10,,,amd-versal-adaptive-soc,,
American Binary Ambit Client,,,,,,not_found,,2026-05-10,,,american-binary-ambit-client,,
Anchorage Digital,,,,,,not_found,,2026-05-10,,,anchorage-digital,,
Android 16,,,,,,not_found,,2026-05-10,,,android-16,,
Android 17 PQC,,,,,,not_found,,2026-05-10,,,android-17-pqc,,
ANKATech ANKASecure,,,,,,not_found,,2026-05-10,,,ankatech-ankasecure,,
Ansible / PQC App Recs,,,,,,not_found,,2026-05-10,,,,,
ANSSI PQC Migration Guidance,,,,,,not_found,,2026-05-10,,,anssi-pqc-migration-guidance,,
AnyDesk,,,,,,not_found,,2026-05-10,,,,,
AnyDesk Remote Desktop,,,,,,not_found,,2026-05-10,,,anydesk-remote-desktop,,
Apache Guacamole,pkg:github/apache/guacamole-server,github,apache,guacamole-server,exact,matched,https://github.com/apache/guacamole-server,2026-05-10,,,apache-guacamole,,
Apache HTTP Server,pkg:github/apache/httpd,github,apache,httpd,exact,matched,https://github.com/apache/httpd,2026-05-10,,,apache-http-server,,
Apache Tomcat,pkg:github/apache/tomcat,github,apache,tomcat,exact,matched,https://github.com/apache/tomcat,2026-05-10,,,apache-tomcat,,
Apache Traffic Server,pkg:github/apache/trafficserver,github,apache,trafficserver,exact,matched,https://github.com/apache/trafficserver,2026-05-10,,,apache-traffic-server,,
Apple codesign,,,,,,not_found,,2026-05-10,,,apple-codesign,,
Apple PQ3 / CoreCrypto,,,,,,not_found,,2026-05-10,,,apple-pq3-corecrypto,,
Apple Safari,,,,,,not_found,,2026-05-10,,,apple-safari,,
Applivery UEM PQC,,,,,,not_found,,2026-05-10,,,applivery-uem-pqc,,
AppViewX CERT+,,,,,,not_found,,2026-05-10,,,appviewx-cert,,
AppViewX Spring 2026,,,,,,not_found,,2026-05-10,,,appviewx-spring-2026,,
Aptos,pkg:github/aptos-labs/aptos-core,github,aptos-labs,aptos-core,exact,matched,https://github.com/aptos-labs/aptos-core,2026-05-10,,,aptos,,
Arch Linux,,,,,,not_found,,2026-05-10,,,arch-linux,,
ArgoCD / FluxCD 2026,,,,,,not_found,,2026-05-10,,,,,
Arista EOS (Extensible Operating System),,,,,,not_found,,2026-05-10,,,arista-eos-extensible-operating-system,,
ARM Confidential Compute Architecture (CCA),pkg:github/ARM-software/cca-rmm-acs,github,ARM-software,cca-rmm-acs,exact,matched,https://github.com/ARM-software/cca-rmm-acs,2026-05-10,,,arm-confidential-compute-architecture-cca,,
ARM Trusted Firmware (TF-A),pkg:github/ARM-software/arm-trusted-firmware,github,ARM-software,arm-trusted-firmware,exact,matched,https://github.com/ARM-software/arm-trusted-firmware,2026-05-10,,,arm-trusted-firmware-tf-a,,
ARM TrustZone,,,,,,not_found,,2026-05-10,,,arm-trustzone,,
Arqit 6WIND Telco PQC,,,,,,not_found,,2026-05-10,,,arqit-6wind-telco-pqc,,
Arqit Encryption Intelligence,,,,,,not_found,,2026-05-10,,,arqit-encryption-intelligence,,
Arqit QuantumCloud,,,,,,not_found,,2026-05-10,,,arqit-quantumcloud,,
Ascertia ADSS PKI Server,,,,,,not_found,,2026-05-10,,,ascertia-adss-pki-server,,
Ascertia ADSS Server/SAM,,,,,,not_found,,2026-05-10,,,ascertia-adss-server-sam,,
Ascertia ADSS Signing Server,,,,,,not_found,,2026-05-10,,,ascertia-adss-signing-server,,
ASD Australia PQC Transition,,,,,,not_found,,2026-05-10,,,asd-australia-pqc-transition,,
ASUSTOR ADM 5.1 PQC,,,,,,not_found,,2026-05-10,,,asustor-adm-5-1-pqc,,
AsyncSSH,pkg:github/ronf/asyncssh,github,ronf,asyncssh,exact,matched,https://github.com/ronf/asyncssh,2026-05-10,,,asyncssh,,
Atalla AT1000e,,,,,,not_found,,2026-05-10,,,,,
Auth0 (Okta Customer Identity),,,,,,not_found,,2026-05-10,,,auth0-okta-customer-identity,,
AUTOCRYPT PKI-Vehicles,,,,,,not_found,,2026-05-10,,,autocrypt-pki-vehicles,,
Avalanche,pkg:github/ava-labs/avalanchego,github,ava-labs,avalanchego,exact,matched,https://github.com/ava-labs/avalanchego,2026-05-10,,,avalanche,,
AWS API Gateway PQC,,,,,,not_found,,2026-05-10,,,aws-api-gateway-pqc,,
AWS Application Load Balancer (ALB),,,,,,not_found,,2026-05-10,,,aws-application-load-balancer-alb,,
AWS Certificate Manager,,,,,,not_found,,2026-05-10,,,aws-certificate-manager,,
AWS CloudHSM,,,,,,not_found,,2026-05-10,,,aws-cloudhsm,,
AWS Identity and Access Management (IAM),,,,,,not_found,,2026-05-10,,,aws-identity-and-access-management-iam,,
AWS KMS,,,,,,not_found,,2026-05-10,,,aws-kms,,
AWS KMS (Cloud Gateway),,,,,,not_found,,2026-05-10,,,aws-kms-cloud-gateway,,
AWS Payments Cryptography PQC,,,,,,not_found,,2026-05-10,,,aws-payments-cryptography-pqc,,
AWS Private CA PQC,,,,,,not_found,,2026-05-10,,,aws-private-ca-pqc,,
AWS s2n-tls,pkg:github/aws/s2n-tls,github,aws,s2n-tls,exact,matched,https://github.com/aws/s2n-tls,2026-05-10,,,aws-s2n-tls,,
AWS Transfer Family,,,,,,not_found,,2026-05-10,,,aws-transfer-family,,
AWS-LC,pkg:github/aws/aws-lc,github,aws,aws-lc,manual,matched,https://github.com/aws/aws-lc,2026-05-10,,,aws-lc,,
Azure AKS,,,,,,not_found,,2026-05-10,,,azure-aks,,
Azure Dedicated HSM,,,,,,not_found,,2026-05-10,,,,,
Azure Dedicated HSM (Marvell LiquidSecurity),,,,,,not_found,,2026-05-10,,,azure-dedicated-hsm-marvell-liquidsecurity,,
Azure DevOps,,,,,,not_found,,2026-05-10,,,azure-devops,,
Azure Key Vault,,,,,,not_found,,2026-05-10,,,azure-key-vault,,
Bamboo CI (Roadmap),,,,,,not_found,,2026-05-10,,,,,
Barclays (PQC Research),,,,,,not_found,,2026-05-10,,,,,
Barracuda Email Protection,,,,,,not_found,,2026-05-10,,,barracuda-email-protection,,
BERTEN MLDS-B235,,,,,,not_found,,2026-05-10,,,berten-mlds-b235,,
BERTEN MLKE-B135,,,,,,not_found,,2026-05-10,,,berten-mlke-b135,,
BeyondTrust Pathfinder Platform,,,,,,not_found,,2026-05-10,,,beyondtrust-pathfinder-platform,,
BeyondTrust Privilege Management,,,,,,not_found,,2026-05-10,,,,,
BIS Project Leap PQC,,,,,,not_found,,2026-05-10,,,bis-project-leap-pqc,,
Bitcoin Core,pkg:github/bitcoin/bitcoin,github,bitcoin,bitcoin,exact,matched,https://github.com/bitcoin/bitcoin,2026-05-10,,,bitcoin-core,,
BitGo,,,,,,not_found,,2026-05-10,,,bitgo,,
BitLocker (Windows),,,,,,not_found,,2026-05-10,,,bitlocker-windows,,
Bitvise SSH Server,,,,,,not_found,,2026-05-10,,,bitvise-ssh-server,,
Bitwarden,,,,,,not_found,,2026-05-10,,,bitwarden,,
BlackBerry QNX Hypervisor 8.0 for Safety,,,,,,not_found,,2026-05-10,,,blackberry-qnx-hypervisor-8,,
BlackBerry QNX Neutrino RTOS,,,,,,not_found,,2026-05-10,,,,,
Boeing (Quantum-Safe Sky),,,,,,not_found,,2026-05-10,,,,,
BoringSSL,pkg:github/google/boringssl,github,google,boringssl,manual,matched,https://github.com/google/boringssl,2026-05-10,,,boringssl,,
Botan,pkg:github/randombit/botan,github,randombit,botan,exact,matched,https://github.com/randombit/botan,2026-05-10,,,botan,,
Bouncy Castle,pkg:github/bcgit/bc-java,github,bcgit,bc-java,exact,matched,https://github.com/bcgit/bc-java,2026-05-10,,,bouncy-castle,,
Bouncy Castle C# .NET,pkg:nuget/BouncyCastle.Cryptography,nuget,,BouncyCastle.Cryptography,manual,matched,https://www.nuget.org/packages/BouncyCastle.Cryptography,2026-05-10,,,bouncy-castle-c-net,,
Bouncy Castle C\# / Java,,,,,,not_found,,2026-05-10,,,bouncy-castle-c-java,,
Bouncy Castle Java,pkg:maven/org.bouncycastle/bcprov-jdk18on,maven,org.bouncycastle,bcprov-jdk18on,manual,matched,https://mvnrepository.com/artifact/org.bouncycastle/bcprov-jdk18on,2026-05-10,,,bouncy-castle-java,,
Bouncy Castle Java LTS,pkg:maven/org.bouncycastle/bcprov-lts8on,maven,org.bouncycastle,bcprov-lts8on,manual,matched,https://mvnrepository.com/artifact/org.bouncycastle/bcprov-lts8on,2026-05-10,,,bouncy-castle-java-lts,,
Box Shield,,,,,,not_found,,2026-05-10,,,,,
Bradesco IBM Quantum Safe,,,,,,not_found,,2026-05-10,,,bradesco-ibm-quantum-safe,,
Brave Browser,,,,,,not_found,,2026-05-10,,,brave-browser,,
Broadcom Avi (NSX ALB),,,,,,not_found,,2026-05-10,,,broadcom-avi-nsx-alb,,
Broadcom Emulex SecureHBA,,,,,,not_found,,2026-05-10,,,broadcom-emulex-securehba,,
Broadcom Symantec DLP,,,,,,not_found,,2026-05-10,,,broadcom-symantec-dlp,,
Broadcom Symantec SES,,,,,,not_found,,2026-05-10,,,broadcom-symantec-ses,,
BSI PQC Recommendations,,,,,,not_found,,2026-05-10,,,bsi-pqc-recommendations,,
BTQ Bitcoin Quantum,,,,,,not_found,,2026-05-10,,,btq-bitcoin-quantum,,
BTQ Bitcoin Quantum Testnet,,,,,,not_found,,2026-05-10,,,btq-bitcoin-quantum-testnet,,
C-DOT Quantum CEM Encryptor,,,,,,not_found,,2026-05-10,,,c-dot-quantum-cem-encryptor,,
Caddy Server,,,,,,not_found,,2026-05-10,,,caddy-server,,
Cardano,pkg:github/IntersectMBO/cardano-node,github,IntersectMBO,cardano-node,exact,matched,https://github.com/IntersectMBO/cardano-node,2026-05-10,,,cardano,,
CAST KiviPQC-KEM,,,,,,not_found,,2026-05-10,,,cast-kivipqc-kem,,
CATO Networks SASE,,,,,,not_found,,2026-05-10,,,cato-networks-sase,,
Cellcrypt PQC Communications,,,,,,not_found,,2026-05-10,,,cellcrypt-pqc-communications,,
CentOS Stream,,,,,,not_found,,2026-05-10,,,centos-stream,,
Certicom Code Signing and Key Management Server,,,,,,not_found,,2026-05-10,,,certicom-pqc-code-signing,,
Check Point Quantum,,,,,,not_found,,2026-05-10,,,check-point-quantum,,
Checkmarx One,,,,,,not_found,,2026-05-10,,,checkmarx-one,,
Chelpis Quantum PQC (Taiwan),,,,,,not_found,,2026-05-10,,,chelpis-quantum-pqc-taiwan,,
Chile National Quantum Strategy,,,,,,not_found,,2026-05-10,,,chile-national-quantum-strategy,,
China PQC National Standards (ICCS),,,,,,not_found,,2026-05-10,,,china-pqc-national-standards-iccs,,
China Telecom Quantum Group,,,,,,not_found,,2026-05-10,,,china-telecom-quantum-group,,
ChromeOS,,,,,,not_found,,2026-05-10,,,chromeos,,
Ciena WaveLogic 6 Extreme,,,,,,not_found,,2026-05-10,,,ciena-wavelogic-6-extreme,,
Cilium Service Mesh PQC,,,,,,not_found,,2026-05-10,,,cilium-service-mesh-pqc,,
CIQ Rocky Linux CAVP PQC,,,,,,not_found,,2026-05-10,,,ciq-rocky-linux-cavp-pqc,,
CIRCL,pkg:github/cloudflare/circl,github,cloudflare,circl,exact,matched,https://github.com/cloudflare/circl,2026-05-10,,,circl,,
CircleCI,,,,,,not_found,,2026-05-10,,,circleci,,
CISA PQC Migration Framework,,,,,,not_found,,2026-05-10,,,cisa-pqc-migration-framework,,
Cisco AI Defense (formerly Robust Intelligence Platform),,,,,,not_found,,2026-05-10,,,robust-intelligence-cisco-ai-defense,,
Cisco ASA (Adaptive Security Appliance),,,,,,not_found,,2026-05-10,,,cisco-asa-adaptive-security-appliance,,
Cisco Catalyst 9500 PQC,,,,,,not_found,,2026-05-10,,,cisco-catalyst-9500-pqc,,
Cisco Catalyst Center,,,,,,not_found,,2026-05-10,,,cisco-catalyst-center,,
Cisco Identity Services Engine (ISE),,,,,,not_found,,2026-05-10,,,cisco-identity-services-engine-ise,,
Cisco IOS XE PQC,,,,,,not_found,,2026-05-10,,,cisco-ios-xe-pqc,,
Cisco IOS XR,,,,,,not_found,,2026-05-10,,,cisco-ios-xr,,
Cisco Meraki MX (Cloud-Managed Firewall),,,,,,not_found,,2026-05-10,,,cisco-meraki-mx-cloud-managed-firewall,,
Cisco Secure Client (AnyConnect),,,,,,not_found,,2026-05-10,,,cisco-secure-client-anyconnect,,
Cisco Webex,,,,,,not_found,,2026-05-10,,,cisco-webex,,
citadel_pqcrypto,pkg:github/citadel-protocol/citadel_pqcrypto,github,citadel-protocol,citadel_pqcrypto,exact,matched,https://github.com/citadel-protocol/citadel_pqcrypto,2026-05-10,,,citadel-pqcrypto,,
Citrix ADC (NetScaler),,,,,,not_found,,2026-05-10,,,citrix-adc-netscaler,,
Citrix CVAD,,,,,,not_found,,2026-05-10,,,citrix-cvad,,
Citrix Virtual Apps and Desktops,,,,,,not_found,,2026-05-10,,,citrix-virtual-apps-and-desktops,,
Claroty Platform,,,,,,not_found,,2026-05-10,,,claroty-platform,,
Cloudflare CIRCL,,,,,,not_found,,2026-05-10,,,cloudflare-circl,,
Cloudflare Edge Network,,,,,,not_found,,2026-05-10,,,cloudflare-edge-network,,
