item_id,collection,collection_label,item_key,source_file,cites_url,last_reviewed,reviewed_by,review_note,status,deprecated_at,deprecated_reason
appendix-b-definition:ATIS,appendix-b-definition,CSWP.39 Appendix B definition,ATIS,src/data/cswp39AppendixB.ts,yes,,,,active,,
appendix-b-definition:CARAF (Hohm et al.),appendix-b-definition,CSWP.39 Appendix B definition,CARAF (Hohm et al.),src/data/cswp39AppendixB.ts,yes,,,,active,,
appendix-b-definition:ETSI,appendix-b-definition,CSWP.39 Appendix B definition,ETSI,src/data/cswp39AppendixB.ts,yes,,,,active,,
appendix-b-definition:FS-ISAC (financial sector),appendix-b-definition,CSWP.39 Appendix B definition,FS-ISAC (financial sector),src/data/cswp39AppendixB.ts,yes,,,,active,,
appendix-b-definition:NIST (2016 workshop),appendix-b-definition,CSWP.39 Appendix B definition,NIST (2016 workshop),src/data/cswp39AppendixB.ts,yes,,,,active,,
attack-profile:AES (Classical),attack-profile,Implementation attack profile,AES (Classical),src/data/implementationAttackProfiles.ts,yes,,,,active,,
attack-profile:Classic McEliece,attack-profile,Implementation attack profile,Classic McEliece,src/data/implementationAttackProfiles.ts,yes,,,,active,,
attack-profile:Composite Signatures (ML-DSA+ECDSA),attack-profile,Implementation attack profile,Composite Signatures (ML-DSA+ECDSA),src/data/implementationAttackProfiles.ts,yes,,,,active,,
attack-profile:FN-DSA / Falcon,attack-profile,Implementation attack profile,FN-DSA / Falcon,src/data/implementationAttackProfiles.ts,yes,,,,active,,
attack-profile:FrodoKEM,attack-profile,Implementation attack profile,FrodoKEM,src/data/implementationAttackProfiles.ts,yes,,,,active,,
attack-profile:HQC,attack-profile,Implementation attack profile,HQC,src/data/implementationAttackProfiles.ts,yes,,,,active,,
attack-profile:Hybrid KEM (X25519+ML-KEM),attack-profile,Implementation attack profile,Hybrid KEM (X25519+ML-KEM),src/data/implementationAttackProfiles.ts,yes,,,,active,,
attack-profile:LMS / XMSS (Stateful Hash-Based),attack-profile,Implementation attack profile,LMS / XMSS (Stateful Hash-Based),src/data/implementationAttackProfiles.ts,yes,,,,active,,
attack-profile:ML-DSA / Dilithium,attack-profile,Implementation attack profile,ML-DSA / Dilithium,src/data/implementationAttackProfiles.ts,yes,,,,active,,
attack-profile:ML-KEM / Kyber,attack-profile,Implementation attack profile,ML-KEM / Kyber,src/data/implementationAttackProfiles.ts,yes,,,,active,,
attack-profile:NTRU+,attack-profile,Implementation attack profile,NTRU+,src/data/implementationAttackProfiles.ts,yes,,,,active,,
attack-profile:RNG & API Misuse (All Algorithms),attack-profile,Implementation attack profile,RNG & API Misuse (All Algorithms),src/data/implementationAttackProfiles.ts,yes,,,,active,,
attack-profile:RSA / ECDSA (Classical),attack-profile,Implementation attack profile,RSA / ECDSA (Classical),src/data/implementationAttackProfiles.ts,yes,,,,active,,
attack-profile:SLH-DSA / SPHINCS+,attack-profile,Implementation attack profile,SLH-DSA / SPHINCS+,src/data/implementationAttackProfiles.ts,yes,,,,active,,
cswp39-zone:assets,cswp39-zone,CSWP.39 zone,assets,src/data/cswp39ZoneData.ts,yes,,,,active,,
cswp39-zone:governance,cswp39-zone,CSWP.39 zone,governance,src/data/cswp39ZoneData.ts,yes,,,,active,,
cswp39-zone:management-tools,cswp39-zone,CSWP.39 zone,management-tools,src/data/cswp39ZoneData.ts,yes,,,,active,,
cswp39-zone:migration,cswp39-zone,CSWP.39 zone,migration,src/data/cswp39ZoneData.ts,yes,,,,active,,
cswp39-zone:mitigation,cswp39-zone,CSWP.39 zone,mitigation,src/data/cswp39ZoneData.ts,yes,,,,active,,
cswp39-zone:risk-management,cswp39-zone,CSWP.39 zone,risk-management,src/data/cswp39ZoneData.ts,yes,,,,active,,
role:appsec-lead,role,Framework role crosswalk,appsec-lead,src/data/roleCrosswalk.ts,yes,,,,active,,
role:crypto-architect,role,Framework role crosswalk,crypto-architect,src/data/roleCrosswalk.ts,yes,,,,active,,
role:exec-sponsor,role,Framework role crosswalk,exec-sponsor,src/data/roleCrosswalk.ts,yes,,,,active,,
role:ot-specialist,role,Framework role crosswalk,ot-specialist,src/data/roleCrosswalk.ts,yes,,,,active,,
role:pmo-analyst,role,Framework role crosswalk,pmo-analyst,src/data/roleCrosswalk.ts,yes,,,,active,,
role:qrpm,role,Framework role crosswalk,qrpm,src/data/roleCrosswalk.ts,yes,,,,active,,
role:security-eng,role,Framework role crosswalk,security-eng,src/data/roleCrosswalk.ts,yes,,,,active,,
role:vendor-lead,role,Framework role crosswalk,vendor-lead,src/data/roleCrosswalk.ts,yes,,,,active,,
