concept_id,display_label,source_type,source_table,source_row_id,primary_url,status,deprecated_at,deprecated_reason
algorithm:falcon-spec-v12,Falcon-Spec-v12,algorithm,library,Falcon-Spec-v12,https://falcon-sign.info/falcon.pdf,active,,
framework:nist-cswp-39,NIST CSWP 39,framework,library,NIST CSWP 39,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.39.pdf,active,,
framework:nist-cswp-48,NIST CSWP 48,framework,library,NIST CSWP 48,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.48.ipd.pdf,active,,
framework:nist-ir-8477,NIST IR 8477,framework,library,NIST IR 8477,https://csrc.nist.gov/publications/detail/ir/8477/final,active,,
guidance:anssi-bsi-qkd-position-paper,ANSSI-BSI-QKD-Position-Paper,guidance,library,ANSSI-BSI-QKD-Position-Paper,,active,,
guidance:anssi-pqc-follow-up-paper,ANSSI PQC Follow-up Paper,guidance,library,ANSSI PQC Follow-up Paper,https://cyber.gouv.fr/sites/default/files/document/follow_up_position_paper_on_post_quantum_cryptography.pdf,active,,
guidance:anssi-pqc-position-paper,ANSSI PQC Position Paper,guidance,library,ANSSI PQC Position Paper,https://cyber.gouv.fr/sites/default/files/2022/04/anssi-avis-migration-vers-la-cryptographie-post-quantique.pdf,active,,
guidance:au-asd-ism-crypto-2024,AU-ASD-ISM-Crypto-2024,guidance,library,AU-ASD-ISM-Crypto-2024,https://www.cyber.gov.au/sites/default/files/2024-12/22.%20ISM%20-%20Guidelines%20for%20Cryptography%20(December%202024).pdf,active,,
guidance:bsi-anssi-qkd-position-2024,BSI-ANSSI-QKD-Position-2024,guidance,library,BSI-ANSSI-QKD-Position-2024,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Crypto/Quantum_Positionspapier.pdf?__blob=publicationFile&v=4,active,,
guidance:bsi-tr-02102,BSI TR-02102,guidance,library,BSI TR-02102,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-1.pdf,active,,
guidance:bsi-tr-02102-1,BSI TR-02102-1,guidance,library,BSI TR-02102-1,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-1.pdf,active,,
guidance:bsi-tr-02102-2,BSI TR-02102-2,guidance,library,BSI TR-02102-2,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-2.pdf,active,,
guidance:bsi-tr-02102-3,BSI TR-02102-3,guidance,library,BSI TR-02102-3,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-3.pdf,active,,
guidance:bsi-tr-02102-4,BSI TR-02102-4,guidance,library,BSI TR-02102-4,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-4.pdf,active,,
guidance:ca-tbs-spin-pqc-2025,CA-TBS-SPIN-PQC-2025,guidance,library,CA-TBS-SPIN-PQC-2025,https://www.canada.ca/en/government/system/digital-government/policies-standards/spin/migrating-government-canada-post-quantum-cryptography.html,active,,
guidance:circl-cloudflare,CIRCL-Cloudflare,guidance,library,CIRCL-Cloudflare,https://github.com/cloudflare/circl,active,,
guidance:cisa-pqc-category-list-2026,CISA-PQC-CATEGORY-LIST-2026,guidance,library,CISA-PQC-CATEGORY-LIST-2026,https://www.cisa.gov/resources-tools/resources/product-categories-technologies-use-post-quantum-cryptography-standards,active,,
guidance:cnssp-11,CNSSP 11,guidance,library,CNSSP 11,https://www.cnss.gov/CNSS/issuances/Policies.htm,active,,
guidance:cnssp-15,CNSSP 15,guidance,library,CNSSP 15,https://www.cnss.gov/CNSS/issuances/Policies.htm,active,,
guidance:dora-reg-2022-2554,DORA-REG-2022-2554,guidance,library,DORA-REG-2022-2554,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022R2554,active,,
guidance:eidas-2-regulation,eIDAS-2-Regulation,guidance,library,eIDAS-2-Regulation,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32024R1183,active,,
guidance:enisa-pqc-guidelines,ENISA PQC Guidelines,guidance,library,ENISA PQC Guidelines,https://www.enisa.europa.eu/publications/post-quantum-cryptography-current-state-and-quantum-mitigation,active,,
guidance:enisa-pqc-integration-study-2022,ENISA-PQC-Integration-Study-2022,guidance,library,ENISA-PQC-Integration-Study-2022,https://www.enisa.europa.eu/publications/post-quantum-cryptography-integration-study,active,,
guidance:eu-bsi-pqc-joint-statement-2024,EU-BSI-PQC-Joint-Statement-2024,guidance,library,EU-BSI-PQC-Joint-Statement-2024,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Crypto/PQC-joint-statement.pdf,active,,
guidance:g7-ceg-financial-pqc-2026,G7-CEG-Financial-PQC-2026,guidance,library,G7-CEG-Financial-PQC-2026,https://home.treasury.gov/,active,,
guidance:mas-circular-it-risk,MAS-CIRCULAR-IT-RISK,guidance,library,MAS-CIRCULAR-IT-RISK,https://www.mas.gov.sg/-/media/MAS/Regulations-and-Financial-Stability/Regulatory-and-Supervisory-Framework/Risk-Management/TRM-Guidelines-18-January-2021.pdf,active,,
guidance:nerc-cip-reqs,NERC-CIP-REQS,guidance,library,NERC-CIP-REQS,https://www.nerc.com/pa/Stand/Reliability%20Standards%20Complete%20Set/RSCompleteSet.pdf,active,,
guidance:nis2-directive-2022-2555,NIS2-DIRECTIVE-2022-2555,guidance,library,NIS2-DIRECTIVE-2022-2555,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022L2555,active,,
guidance:nsa-cnsa-20,NSA CNSA 2.0,guidance,library,NSA CNSA 2.0,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,active,,
guidance:nsa-cnsa-20-faq,NSA CNSA 2.0 FAQ,guidance,library,NSA CNSA 2.0 FAQ,https://media.defense.gov/2022/Sep/07/2003071836/-1/-1/0/CSI_CNSA_2.0_FAQ_.PDF,active,,
guidance:nsm-10,NSM-10,guidance,library,NSM-10,https://bidenwhitehouse.archives.gov/briefing-room/statements-releases/2022/05/04/national-security-memorandum-on-promoting-united-states-leadership-in-quantum-computing-while-mitigating-risks-to-vulnerable-cryptographic-systems/,active,,
guidance:nsm-8,NSM-8,guidance,library,NSM-8,https://www.whitehouse.gov/briefing-room/statements-releases/2022/01/19/memorandum-on-improving-the-cybersecurity-of-national-security-department-of-defense-and-intelligence-community-systems/,active,,
guidance:pci-dss-qrg,PCI-DSS-QRG,guidance,library,PCI-DSS-QRG,https://www.pcisecuritystandards.org/documents/PCIDSS_QRGv3.pdf,active,,
guidance:sg-mas-quantum-advisory-2024,SG-MAS-Quantum-Advisory-2024,guidance,library,SG-MAS-Quantum-Advisory-2024,https://www.mas.gov.sg/regulation/circulars/advisory-on-addressing-the-cybersecurity-risks-associated-with-quantum,active,,
guidance:uk-ncsc-migration-timelines-2025,UK-NCSC-Migration-Timelines-2025,guidance,library,UK-NCSC-Migration-Timelines-2025,https://www.ncsc.gov.uk/guidance/pqc-migration-timelines,active,,
guidance:uk-ncsc-pqc-guidance,UK NCSC PQC Guidance,guidance,library,UK NCSC PQC Guidance,https://www.ncsc.gov.uk/whitepaper/quantum-safe-cryptography,active,,
guidance:us-cisa-pqc-ot-2024,US-CISA-PQC-OT-2024,guidance,library,US-CISA-PQC-OT-2024,https://www.cisa.gov/sites/default/files/2024-10/Post-Quantum%20Considerations%20for%20Operational%20Technology%20(508).pdf,active,,
standard:algorand-pqc-technical-brief,Algorand-PQC-Technical-Brief,standard,library,Algorand-PQC-Technical-Brief,,active,,
standard:ansi-x962,ANSI X9.62,standard,library,ANSI X9.62,https://webstore.ansi.org/standards/ascx9/ansix9622005,active,,
standard:ansi-x963,ANSI X9.63,standard,library,ANSI X9.63,https://webstore.ansi.org/standards/ascx9/ansix9632011,active,,
standard:aptos-aip137-slh-dsa,Aptos-AIP137-SLH-DSA,standard,library,Aptos-AIP137-SLH-DSA,,active,,
standard:aq-pqc-migration-framework-v11-2026,AQ-PQC-Migration-Framework-v1.1-2026,standard,library,AQ-PQC-Migration-Framework-v1.1-2026,https://pqcframework.com/wp-content/uploads/2026/03/The-Applied-Quantum-PQC-Migration-Framework-Universal-v.1.1-Mar2026.pdf,active,,
standard:arstechnica-ransomware-quantum-safe-2026,ArsTechnica-Ransomware-Quantum-Safe-2026,standard,library,ArsTechnica-Ransomware-Quantum-Safe-2026,https://arstechnica.com/security/2026/04/now-even-ransomware-is-using-post-quantum-cryptography/,active,,
standard:arxiv-2025-slh-dsa-rowhammer,ArXiv-2025-SLH-DSA-Rowhammer,standard,library,ArXiv-2025-SLH-DSA-Rowhammer,https://doi.org/10.48550/arXiv.2509.13048,active,,
standard:bip-141,BIP-141,standard,library,BIP-141,https://github.com/bitcoin/bips/blob/master/bip-0141.mediawiki,active,,
standard:bip-32,BIP-32,standard,library,BIP-32,https://github.com/bitcoin/bips/blob/master/bip-0032.mediawiki,active,,
standard:bip-340,BIP-340,standard,library,BIP-340,https://github.com/bitcoin/bips/blob/master/bip-0340.mediawiki,active,,
