concept_id,display_label,source_type,source_table,source_row_id,primary_url,aliases,status,deprecated_at,deprecated_reason
algorithm:classic-mceliece-spec,Classic-McEliece-Spec,algorithm,library,Classic-McEliece-Spec,https://classic.mceliece.org/nist/mceliece-20201010.pdf,,active,,
algorithm:falcon-spec-v12,Falcon-Spec-v12,algorithm,library,Falcon-Spec-v12,https://falcon-sign.info/falcon.pdf,,active,,
algorithm:frodokem-sca-countermeasures-2024,FrodoKEM-SCA-Countermeasures-2024,algorithm,library,FrodoKEM-SCA-Countermeasures-2024,https://doi.org/10.21203/rs.3.rs-7530666/v1,,active,,
algorithm:ml-dsa-44,ML-DSA-44,algorithm,standard_implements_algo_xref,ML-DSA-44,,,active,,
algorithm:ml-dsa-65,ML-DSA-65,algorithm,standard_implements_algo_xref,ML-DSA-65,,,active,,
algorithm:ml-dsa-87,ML-DSA-87,algorithm,standard_implements_algo_xref,ML-DSA-87,,,active,,
algorithm:ml-kem-1024,ML-KEM-1024,algorithm,standard_implements_algo_xref,ML-KEM-1024,,,active,,
algorithm:ml-kem-512,ML-KEM-512,algorithm,standard_implements_algo_xref,ML-KEM-512,,,active,,
algorithm:ml-kem-768,ML-KEM-768,algorithm,standard_implements_algo_xref,ML-KEM-768,,,active,,
algorithm:slh-dsa-sha2-128f,SLH-DSA-SHA2-128f,algorithm,standard_implements_algo_xref,SLH-DSA-SHA2-128f,,,active,,
algorithm:slh-dsa-sha2-128s,SLH-DSA-SHA2-128s,algorithm,standard_implements_algo_xref,SLH-DSA-SHA2-128s,,,active,,
algorithm:slh-dsa-sha2-192f,SLH-DSA-SHA2-192f,algorithm,standard_implements_algo_xref,SLH-DSA-SHA2-192f,,,active,,
algorithm:slh-dsa-sha2-192s,SLH-DSA-SHA2-192s,algorithm,standard_implements_algo_xref,SLH-DSA-SHA2-192s,,,active,,
algorithm:slh-dsa-sha2-256f,SLH-DSA-SHA2-256f,algorithm,standard_implements_algo_xref,SLH-DSA-SHA2-256f,,,active,,
algorithm:slh-dsa-sha2-256s,SLH-DSA-SHA2-256s,algorithm,standard_implements_algo_xref,SLH-DSA-SHA2-256s,,,active,,
algorithm:slh-dsa-shake-128f,SLH-DSA-SHAKE-128f,algorithm,standard_implements_algo_xref,SLH-DSA-SHAKE-128f,,,active,,
algorithm:slh-dsa-shake-128s,SLH-DSA-SHAKE-128s,algorithm,standard_implements_algo_xref,SLH-DSA-SHAKE-128s,,,active,,
algorithm:slh-dsa-shake-192f,SLH-DSA-SHAKE-192f,algorithm,standard_implements_algo_xref,SLH-DSA-SHAKE-192f,,,active,,
algorithm:slh-dsa-shake-192s,SLH-DSA-SHAKE-192s,algorithm,standard_implements_algo_xref,SLH-DSA-SHAKE-192s,,,active,,
algorithm:slh-dsa-shake-256f,SLH-DSA-SHAKE-256f,algorithm,standard_implements_algo_xref,SLH-DSA-SHAKE-256f,,,active,,
algorithm:slh-dsa-shake-256s,SLH-DSA-SHAKE-256s,algorithm,standard_implements_algo_xref,SLH-DSA-SHAKE-256s,,,active,,
framework:5gsuci-nist-cswp-36a-ipd,5gsuci-NIST.CSWP.36A.ipd,framework,library,5gsuci-NIST.CSWP.36A.ipd,,,active,,
