software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link,deprecated_at,deprecated_reason,product_id,pqc_cert_flag,cert_link_quality,data_quality_notes,date_stamp
.NET System.Security.Cryptography,FIPS 140-3,4766,Microsoft Corporation,Kernel Mode Cryptographic Primitives Library,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4766,2026-06-06,not in regen,,,,,
.NET System.Security.Cryptography,FIPS 140-3,4825,Microsoft Corporation,Cryptographic Primitives Library,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2024-10-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4825,2026-06-06,not in regen,,,,,
AMD SEV-SNP (Secure Encrypted Virtualization),FIPS 140-3,4555,Advanced Micro Devices (AMD),"AMD Ryzen PRO 5000 Series PSP Cryptographic CoProcessor (models 5475U, 5675U, 5875U)",No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2023-07-31,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4555,2026-06-06,not in regen,,,,,
AMD SEV-SNP (Secure Encrypted Virtualization),FIPS 140-3,4626,Advanced Micro Devices (AMD),AMD Ryzen PRO 6000 Series PSP Cryptographic CoProcessor,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2023-10-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4626,2026-06-06,not in regen,,,,,
AMD SEV-SNP (Secure Encrypted Virtualization),FIPS 140-3,4819,"Advanced Micro Devices, Inc. (AMD)",AMD Pensando PenTrust Security Module,No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2024-10-01,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4819,2026-06-06,not in regen,,,,,
AMD Versal Adaptive SoC,FIPS 140-3,4880,"Advanced Micro Devices (AMD), Microsoft Corporation",Pluton Security Processor ROM,No PQC Mechanisms Detected,FIPS 140-3 L3,deprecated,2024-11-14,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4880,2026-05-10,not in regen,amd-versal-adaptive-soc,no_pqc_cert_classical_only,url_authoritative,CMVP #4880: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
AMD Versal Adaptive SoC,FIPS 140-3,4915,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Raphael"")",No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2024-12-12,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4915,2026-06-06,not in regen,,,,,
AMD Versal Adaptive SoC,FIPS 140-3,4914,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Storm Peak"")",No PQC Mechanisms Detected,FIPS 140-3 L3,deprecated,2024-12-12,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4914,2026-05-10,not in regen,amd-versal-adaptive-soc,no_pqc_cert_classical_only,url_authoritative,CMVP #4914: Classical cryptography only. PQC (ML-KEM/ML-DSA/SLH-DSA) not yet validated under this certificate. CMVP PQC module validation anticipated 2026-2027 per NIST CMVP roadmap.,2026-05-06
AMD Versal Adaptive SoC,FIPS 140-3,4941,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Genoa"")",No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2025-01-15,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4941,2026-06-06,not in regen,,,,,
AMD Versal Adaptive SoC,FIPS 140-3,5085,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Turin"")",No PQC Mechanisms Detected,FIPS 140-3 L1,deprecated,2025-10-22,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5085,2026-06-06,not in regen,,,,,
