software_name,cpe_uri,cpe_vendor,cpe_product,match_confidence,status,nvd_url,last_verified_date,deprecated_at,deprecated_reason,product_id,cpe_coverage_flag,data_quality_notes
.NET 10 PQC,,,,,not_found,,,,,net-10-pqc,,
.NET System.Security.Cryptography,,,,,not_found,,,,,net-system-security-cryptography,,
01 Quantum IronCAP,,,,,not_found,,,,,01-quantum-ironcap,,
10.512,,,,,not_found,,,,,stsafe-v100-tpm,,
1Password,,,,,not_found,,,,,1password,,
9.512,,,,,not_found,,,,,st33ktpm2x-stsafe-tpm,,
@noble/curves,,,,,not_found,,,,,noble-curves,,
@noble/hashes,,,,,not_found,,,,,noble-hashes,,
A10 Networks Thunder ADC,,,,,not_found,,,,,a10-networks-thunder-adc,,
AdGuard DNS,cpe:2.3:a:adguard-dns:adguard_dns:2.2:*:*:*:*:*:*:*,adguard-dns,adguard_dns,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=adguard%20dns,2026-08-07,,,adguard-dns,,
Adobe Acrobat Sign,,,,,not_found,,,,,adobe-acrobat-sign,,
Adva FSP 3000 S-Flex,,,,,not_found,,2026-04-01,2026-07-11,not in regen,adva-fsp-3000-s-flex,cpe_not_found_pending_nvd,'Adva FSP 3000 S-Flex' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Adva Network Security FSP 3000 S-Flex,,,,,not_found,,,,,adva-network-security-fsp-3000-s-flex,,
Africa Quantum Consortium PQC,,,,,not_found,,,,,africa-quantum-consortium-pqc,,
age (file encryption),,,,,not_found,,,,,filesottile-age-encryption,,
age-plugin-pqkem,,,,,not_found,,,,,age-plugin-pqkem,,
Aigis Reference Implementation,,,,,not_found,,,,,aigis-reference-implementation,,
AIMer Reference Implementation,,,,,not_found,,,,,aimer-reference-implementation,,
Akamai Connected Cloud,,,,,not_found,,,,,akamai-connected-cloud,,
Akamai Edge,,,,,not_found,,,,,akamai-edge,,
Akamai PQC Edge,,,,,not_found,,,,,akamai-pqc-edge,,
Algorand,,,,,not_found,,,,,algorand,,
Algorand FALCON Mainnet,,,,,not_found,,,,,algorand-falcon-mainnet,,
Alibaba Cloud Crypto,,,,,not_found,,,,,Alibaba-Cloud-Crypto,,
Alibaba Cloud GVSM,,,,,not_found,,,,,alibaba-cloud-gvsm,,
Alpine Linux,cpe:2.3:o:alpinelinux:alpine_linux:-:*:*:*:*:*:*:*,alpinelinux,alpine_linux,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=alpine%20linux,2026-08-07,,,alpine-linux,,
Amazon CloudFront,cpe:2.3:a:amazon:amazon_cloudfront:-:*:*:*:*:*:*:*,amazon,amazon_cloudfront,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=amazon%20cloudfront,2026-04-01,2026-07-11,not in regen,amazon-cloudfront,cpe_matched,"CPE verified. Source: NVD, 2026-05-06."
Amazon CloudFront Post-Quantum TLS,,,,,not_found,,,,,amazon-cloudfront-pqc,,
Amazon Cognito,,,,,not_found,,,,,amazon-cognito,,
Amazon EKS,,,,,not_found,,,,,amazon-eks,,
Amazon Web Services (AWS),,,,,not_found,,,2026-09-24,"catalogue product ""Amazon Web Services (AWS)"" is deprecated",,,
AMD SEV-SNP (Secure Encrypted Virtualization),,,,,not_found,,,,,amd-sev-snp-secure-encrypted-virtualization,,
