software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date,deprecated_at,deprecated_reason,product_id,purl_coverage_flag,data_quality_notes
.NET 10 PQC,,,,,,not_found,,2026-05-10,,,,,
.NET System.Security.Cryptography,pkg:github/dotnet/runtime,github,dotnet,runtime,exact,matched,https://github.com/dotnet/runtime,2026-05-10,,,,,
01 Quantum IronCAP,,,,,,not_found,,2026-05-10,,,,,
1Password,,,,,,not_found,,2026-05-10,,,,,
@noble/curves,pkg:github/paulmillr/noble-curves,github,paulmillr,noble-curves,exact,matched,https://github.com/paulmillr/noble-curves,2026-05-10,,,,,
@noble/hashes,pkg:github/paulmillr/noble-hashes,github,paulmillr,noble-hashes,exact,matched,https://github.com/paulmillr/noble-hashes,2026-05-10,,,,,
A10 Networks Thunder ADC,,,,,,not_found,,2026-05-10,,,,,
AdGuard DNS,,,,,,not_found,,2026-05-10,,,,,
Adobe Acrobat Sign,,,,,,not_found,,2026-05-10,,,,,
Adva FSP 3000 S-Flex,,,,,,not_found,,2026-05-10,,,,,
Adva Network Security FSP 3000 S-Flex,,,,,,not_found,,2026-05-10,,,,,
Africa Quantum Consortium PQC,,,,,,not_found,,2026-05-10,,,,,
Aigis Reference Implementation,pkg:github/zhenfeizhang/Aigis,github,zhenfeizhang,Aigis,exact,matched,https://github.com/zhenfeizhang/Aigis,2026-05-10,,,,,
AIMer Reference Implementation,pkg:github/kpqc-cryptocon/AIMer,github,kpqc-cryptocon,AIMer,exact,matched,https://github.com/kpqc-cryptocon/AIMer,2026-05-10,,,,,
Airbus (Quantum Program),,,,,,not_found,,2026-05-10,,,,,
Akamai Connected Cloud,,,,,,not_found,,2026-05-10,,,,,
Akamai Edge,,,,,,not_found,,2026-05-10,,,,,
Akamai PQC Edge,,,,,,not_found,,2026-05-10,,,,,
Algorand,pkg:github/algorand/go-algorand,github,algorand,go-algorand,exact,matched,https://github.com/algorand/go-algorand,2026-05-10,,,,,
Algorand FALCON Mainnet,,,,,,not_found,,2026-05-10,,,,,
Alibaba Cloud GVSM,,,,,,not_found,,2026-05-10,,,,,
Alpine Linux,,,,,,not_found,,2026-05-10,,,,,
Amazon CloudFront,,,,,,not_found,,2026-05-10,,,,,
Amazon Cognito,,,,,,not_found,,2026-05-10,,,,,
Amazon EKS,,,,,,not_found,,2026-05-10,,,,,
Amazon Web Services (AWS),,,,,,not_found,,2026-05-10,,,,,
AMD SEV-SNP (Secure Encrypted Virtualization),pkg:github/AMDESE/AMDSEV,github,AMDESE,AMDSEV,exact,matched,https://github.com/AMDESE/AMDSEV,2026-05-10,,,,,
AMD Versal Adaptive SoC,,,,,,not_found,,2026-05-10,,,,,
American Binary Ambit Client,,,,,,not_found,,2026-05-10,,,,,
Anchorage Digital,,,,,,not_found,,2026-05-10,,,,,
Android 16,,,,,,not_found,,2026-05-10,,,,,
Android 17 PQC,,,,,,not_found,,2026-05-10,,,,,
ANKATech ANKASecure,,,,,,not_found,,2026-05-10,,,,,
Ansible / PQC App Recs,,,,,,not_found,,2026-05-10,,,,,
ANSSI PQC Migration Guidance,,,,,,not_found,,2026-05-10,,,,,
AnyDesk,,,,,,not_found,,2026-05-10,,,,,
AnyDesk Remote Desktop,,,,,,not_found,,2026-05-10,,,,,
Apache Guacamole,pkg:github/apache/guacamole-server,github,apache,guacamole-server,exact,matched,https://github.com/apache/guacamole-server,2026-05-10,,,,,
Apache HTTP Server,pkg:github/apache/httpd,github,apache,httpd,exact,matched,https://github.com/apache/httpd,2026-05-10,,,,,
Apache Tomcat,pkg:github/apache/tomcat,github,apache,tomcat,exact,matched,https://github.com/apache/tomcat,2026-05-10,,,,,
Apache Traffic Server,pkg:github/apache/trafficserver,github,apache,trafficserver,exact,matched,https://github.com/apache/trafficserver,2026-05-10,,,,,
Apple codesign,,,,,,not_found,,2026-05-10,,,,,
Apple PQ3 / CoreCrypto,,,,,,not_found,,2026-05-10,,,,,
Apple Safari,,,,,,not_found,,2026-05-10,,,,,
Applivery UEM PQC,,,,,,not_found,,2026-05-10,,,,,
AppViewX CERT+,,,,,,not_found,,2026-05-10,,,,,
AppViewX Spring 2026,,,,,,not_found,,2026-05-10,,,,,
Aptos,pkg:github/aptos-labs/aptos-core,github,aptos-labs,aptos-core,exact,matched,https://github.com/aptos-labs/aptos-core,2026-05-10,,,,,
Arch Linux,,,,,,not_found,,2026-05-10,,,,,
ArgoCD / FluxCD 2026,,,,,,not_found,,2026-05-10,,,,,
Arista EOS (Extensible Operating System),,,,,,not_found,,2026-05-10,,,,,
ARM Confidential Compute Architecture (CCA),pkg:github/ARM-software/cca-rmm-acs,github,ARM-software,cca-rmm-acs,exact,matched,https://github.com/ARM-software/cca-rmm-acs,2026-05-10,,,,,
ARM Trusted Firmware (TF-A),pkg:github/ARM-software/arm-trusted-firmware,github,ARM-software,arm-trusted-firmware,exact,matched,https://github.com/ARM-software/arm-trusted-firmware,2026-05-10,,,,,
ARM TrustZone,,,,,,not_found,,2026-05-10,,,,,
Arqit 6WIND Telco PQC,,,,,,not_found,,2026-05-10,,,,,
Arqit Encryption Intelligence,,,,,,not_found,,2026-05-10,,,,,
Arqit QuantumCloud,,,,,,not_found,,2026-05-10,,,,,
Ascertia ADSS PKI Server,,,,,,not_found,,2026-05-10,,,,,
Ascertia ADSS Server/SAM,,,,,,not_found,,2026-05-10,,,,,
Ascertia ADSS Signing Server,,,,,,not_found,,2026-05-10,,,,,
ASD Australia PQC Transition,,,,,,not_found,,2026-05-10,,,,,
ASUSTOR ADM 5.1 PQC,,,,,,not_found,,2026-05-10,,,,,
AsyncSSH,pkg:github/ronf/asyncssh,github,ronf,asyncssh,exact,matched,https://github.com/ronf/asyncssh,2026-05-10,,,,,
Atalla AT1000e,,,,,,not_found,,2026-05-10,,,,,
Auth0 (Okta Customer Identity),,,,,,not_found,,2026-05-10,,,,,
AUTOCRYPT PKI-Vehicles,,,,,,not_found,,2026-05-10,,,,,
Avalanche,pkg:github/ava-labs/avalanchego,github,ava-labs,avalanchego,exact,matched,https://github.com/ava-labs/avalanchego,2026-05-10,,,,,
AWS API Gateway PQC,,,,,,not_found,,2026-05-10,,,,,
AWS Application Load Balancer (ALB),,,,,,not_found,,2026-05-10,,,,,
AWS Certificate Manager,,,,,,not_found,,2026-05-10,,,,,
AWS CloudHSM,,,,,,not_found,,2026-05-10,,,,,
AWS Identity and Access Management (IAM),,,,,,not_found,,2026-05-10,,,,,
AWS KMS,,,,,,not_found,,2026-05-10,,,,,
AWS KMS (Cloud Gateway),,,,,,not_found,,2026-05-10,,,,,
AWS Payments Cryptography PQC,,,,,,not_found,,2026-05-10,,,,,
AWS Private CA PQC,,,,,,not_found,,2026-05-10,,,,,
AWS s2n-tls,pkg:github/aws/s2n-tls,github,aws,s2n-tls,exact,matched,https://github.com/aws/s2n-tls,2026-05-10,,,,,
AWS Transfer Family,,,,,,not_found,,2026-05-10,,,,,
AWS-LC,pkg:github/aws/aws-lc,github,aws,aws-lc,manual,matched,https://github.com/aws/aws-lc,2026-05-10,,,,,
Azure AKS,,,,,,not_found,,2026-05-10,,,,,
Azure Dedicated HSM,,,,,,not_found,,2026-05-10,,,,,
Azure Dedicated HSM (Marvell LiquidSecurity),,,,,,not_found,,2026-05-10,,,,,
Azure DevOps,,,,,,not_found,,2026-05-10,,,,,
Azure Key Vault,,,,,,not_found,,2026-05-10,,,,,
Bamboo CI (Roadmap),,,,,,not_found,,2026-05-10,,,,,
Barclays (PQC Research),,,,,,not_found,,2026-05-10,,,,,
Barracuda Email Protection,,,,,,not_found,,2026-05-10,,,,,
BERTEN MLDS-B235,,,,,,not_found,,2026-05-10,,,,,
BERTEN MLKE-B135,,,,,,not_found,,2026-05-10,,,,,
BeyondTrust Pathfinder Platform,,,,,,not_found,,2026-05-10,,,,,
BeyondTrust Privilege Management,,,,,,not_found,,2026-05-10,,,,,
BIS Project Leap PQC,,,,,,not_found,,2026-05-10,,,,,
Bitcoin Core,pkg:github/bitcoin/bitcoin,github,bitcoin,bitcoin,exact,matched,https://github.com/bitcoin/bitcoin,2026-05-10,,,,,
BitGo,,,,,,not_found,,2026-05-10,,,,,
BitLocker (Windows),,,,,,not_found,,2026-05-10,,,,,
Bitvise SSH Server,,,,,,not_found,,2026-05-10,,,,,
Bitwarden,,,,,,not_found,,2026-05-10,,,,,
BlackBerry QNX Hypervisor 8.0 for Safety,,,,,,not_found,,2026-05-10,,,,,
BlackBerry QNX Neutrino RTOS,,,,,,not_found,,2026-05-10,,,,,
Boeing (Quantum-Safe Sky),,,,,,not_found,,2026-05-10,,,,,
BoringSSL,pkg:github/google/boringssl,github,google,boringssl,manual,matched,https://github.com/google/boringssl,2026-05-10,,,,,
Botan,pkg:github/randombit/botan,github,randombit,botan,exact,matched,https://github.com/randombit/botan,2026-05-10,,,,,
Bouncy Castle,pkg:github/bcgit/bc-java,github,bcgit,bc-java,exact,matched,https://github.com/bcgit/bc-java,2026-05-10,,,,,
Bouncy Castle C# .NET,pkg:nuget/BouncyCastle.Cryptography,nuget,,BouncyCastle.Cryptography,manual,matched,https://www.nuget.org/packages/BouncyCastle.Cryptography,2026-05-10,,,,,
Bouncy Castle C\# / Java,,,,,,not_found,,2026-05-10,,,,,
Bouncy Castle Java,pkg:maven/org.bouncycastle/bcprov-jdk18on,maven,org.bouncycastle,bcprov-jdk18on,manual,matched,https://mvnrepository.com/artifact/org.bouncycastle/bcprov-jdk18on,2026-05-10,,,,,
Bouncy Castle Java LTS,pkg:maven/org.bouncycastle/bcprov-lts8on,maven,org.bouncycastle,bcprov-lts8on,manual,matched,https://mvnrepository.com/artifact/org.bouncycastle/bcprov-lts8on,2026-05-10,,,,,
Box Shield,,,,,,not_found,,2026-05-10,,,,,
